CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50015333,SNATCH & GO INTERNET CAFE & JUICE BAR,Brooklyn,3410,CHURCH AVE,11203,7182825800,"Juice, Smoothies, Fruit Salads",08/10/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,16,,,10/07/2019,Cycle Inspection / Initial Inspection,40.651004219714,-73.945496121494,317,45,085600,3109421,3048880001,BK91
50033462,BARRYS BOOTCAMP,Manhattan,135,W 20TH ST,10011,6465592721,"Juice, Smoothies, Fruit Salads",05/09/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,31,,,10/07/2019,Cycle Inspection / Initial Inspection,40.741583592311,-73.995471058179,104,03,008700,1014746,1007960018,MN13
50069819,FATIMA HALAL KITCHEN,Queens,2525,BROADWAY,11106,7182780080,Chinese,10/25/2017,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Y,16,B,10/25/2017,10/07/2019,Pre-permit (Operational) / Re-inspection,40.763310699457,-73.92819546435,401,22,007500,4007101,4005790005,QN70
40859658,KIMCHEE KOREAN RESTAURANT,Brooklyn,9324,3 AVENUE,11209,7185675741,Korean,09/17/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,13,A,09/17/2018,10/07/2019,Cycle Inspection / Re-inspection,40.618412610578,-74.033131508195,310,43,005800,3155215,3061060041,BK31
41041733,BAGELSMITH,Brooklyn,189,BEDFORD AVENUE,11211,7182187414,American,08/07/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,10,A,08/07/2019,10/07/2019,Cycle Inspection / Initial Inspection,40.717611423411,-73.957944747109,301,33,055300,3062092,3023280005,BK73
40892887,FRANK'S PIZZERIA/DA FRANCO AND TONY RESTAURANT,Bronx,2823,MIDDLETOWN ROAD,10461,7185973333,Italian,09/27/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,44,,,10/07/2019,Cycle Inspection / Initial Inspection,40.843477461476,-73.83561217912,210,13,026602,2045791,2041560007,BX10
50018514,INDIAN SPICE,Brooklyn,351,7TH AVE,11215,7187687777,Indian,07/21/2017,Establishment re-closed by DOHMH,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,12,,,10/07/2019,Cycle Inspection / Reopening Inspection,40.666145020169,-73.982182356111,306,39,015100,3026126,3010940009,BK37
50040764,PERK KAFE,Manhattan,1867,2ND AVE,10029,6466784272,Café/Coffee/Tea,11/26/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,37,,,10/07/2019,Cycle Inspection / Initial Inspection,40.784395150846,-73.946986202881,111,05,015602,1052376,1016460022,MN33
40361618,SAL'S DELI,Queens,12908,20 AVENUE,11356,7186619498,Delicatessen,05/16/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,12,A,05/16/2019,10/07/2019,Cycle Inspection / Initial Inspection,40.781673836068,-73.839415976831,407,19,090700,4099345,4041740023,QN23
50055665,ANN INC CAFE,Manhattan,7,TIMES SQ,10036,2125413287,American,02/10/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,15,B,02/10/2017,10/07/2019,Cycle Inspection / Re-inspection,40.755907817312,-73.986680953809,105,03,011300,1086069,1009940001,MN17
